count_all,mentions_china,full_name,gender,party,type,birthday,state,district,generation
140,2,Rick W. Allen,M,Republican,rep,1951-11-07,GA,12.0,Boomers
135,2,Jim Jordan,M,Republican,rep,1964-02-17,OH,4.0,Boomers
107,2,Robert B. Aderholt,M,Republican,rep,1965-07-22,AL,4.0,Gen X
151,2,Abby Finkenauer,F,Democrat,rep,1988-12-27,IA,1.0,Millennial
138,2,Harley Rouda,M,Democrat,rep,1961-12-10,CA,48.0,Boomers
191,2,Devin Nunes,M,Republican,rep,1973-10-01,CA,22.0,Gen X
187,2,Grace Meng,F,Democrat,rep,1975-10-01,NY,6.0,Gen X
137,2,Ron Johnson,M,Republican,sen,1955-04-08,WI,,Boomers
117,2,Roger F. Wicker,M,Republican,sen,1951-07-05,MS,,Boomers
65,2,"Donald S. Beyer, Jr.",M,Democrat,rep,1950-06-20,VA,8.0,Boomers
178,2,Gary C. Peters,M,Democrat,sen,1958-12-01,MI,,Boomers
110,2,Richard E. Neal,M,Democrat,rep,1949-02-14,MA,1.0,Boomers
120,2,Russ Fulcher,M,Republican,rep,1973-07-19,ID,1.0,Gen X
132,2,Fred Upton,M,Republican,rep,1953-04-23,MI,6.0,Boomers
154,2,Raja Krishnamoorthi,M,Democrat,rep,1973-07-19,IL,8.0,Gen X
84,2,Mario Diaz-Balart,M,Republican,rep,1961-09-25,FL,25.0,Boomers
103,2,Alcee L. Hastings,M,Democrat,rep,1936-09-05,FL,20.0,Silent
151,2,Pete Stauber,M,Republican,rep,1966-05-10,MN,8.0,Gen X
112,2,"Randy K. Weber, Sr.",M,Republican,rep,1953-07-02,TX,14.0,Boomers
150,2,Mazie K. Hirono,F,Democrat,sen,1947-11-03,HI,,Boomers
104,2,Mike Braun,M,Republican,sen,1954-03-24,IN,,Boomers
116,2,Michael Guest,M,Republican,rep,1970-02-04,MS,3.0,Gen X
93,2,Patrick J. Leahy,M,Democrat,sen,1940-03-31,VT,,Silent
101,2,Brad R. Wenstrup,M,Republican,rep,1958-06-17,OH,2.0,Boomers
159,2,Brad Sherman,M,Democrat,rep,1954-10-24,CA,30.0,Boomers
183,2,Suzan K. DelBene,F,Democrat,rep,1962-02-17,WA,1.0,Boomers
102,2,Christopher A. Coons,M,Democrat,sen,1963-09-09,DE,,Boomers
184,2,Mike Bost,M,Republican,rep,1960-12-30,IL,12.0,Boomers
174,2,Chris Van Hollen,M,Democrat,sen,1959-01-10,MD,,Boomers
115,2,Mike Rounds,M,Republican,sen,1954-10-24,SD,,Boomers
111,2,Joe Wilson,M,Republican,rep,1947-07-31,SC,2.0,Boomers
125,2,Michael K. Simpson,M,Republican,rep,1950-09-08,ID,2.0,Boomers
165,2,Tim Burchett,M,Republican,rep,1964-08-25,TN,2.0,Boomers
105,2,Thomas R. Suozzi,M,Democrat,rep,1962-08-31,NY,3.0,Boomers
123,2,Michael T. McCaul,M,Republican,rep,1962-01-14,TX,10.0,Boomers
189,2,Ben Sasse,M,Republican,sen,1972-02-22,NE,,Gen X
108,2,Kevin Cramer,M,Republican,sen,1961-01-21,ND,,Boomers
101,2,Lee M. Zeldin,M,Republican,rep,1980-01-30,NY,1.0,Millennial
167,2,John W. Rose,M,Republican,rep,1965-02-23,TN,6.0,Gen X
184,2,Anthony Brindisi,M,Democrat,rep,1978-11-22,NY,22.0,Gen X
166,2,Kenny Marchant,M,Republican,rep,1951-02-23,TX,24.0,Boomers
124,2,Dean Phillips,M,Democrat,rep,1969-01-20,MN,3.0,Gen X
71,2,John R. Curtis,M,Republican,rep,1960-05-10,UT,3.0,Boomers
96,2,John Barrasso,M,Republican,sen,1952-07-21,WY,,Boomers
104,2,Steven M. Palazzo,M,Republican,rep,1970-02-21,MS,4.0,Gen X
24,2,Bill Flores,M,Republican,rep,1954-02-25,TX,17.0,Boomers
153,2,Paul Cook,M,Republican,rep,1943-03-03,CA,8.0,Silent
98,2,Bob Gibbs,M,Republican,rep,1954-06-14,OH,7.0,Boomers
105,2,Ann Wagner,F,Republican,rep,1962-09-13,MO,2.0,Boomers
142,2,David Perdue,M,Republican,sen,1949-12-10,GA,,Boomers
136,2,Darin LaHood,M,Republican,rep,1968-07-05,IL,18.0,Gen X
176,2,Blaine Luetkemeyer,M,Republican,rep,1952-05-07,MO,3.0,Boomers
111,2,Steve Chabot,M,Republican,rep,1953-01-22,OH,1.0,Boomers
84,1,James M. Inhofe,M,Republican,sen,1934-11-17,OK,,Silent
122,1,Kurt Schrader,M,Democrat,rep,1951-10-19,OR,5.0,Boomers
73,1,James Lankford,M,Republican,sen,1968-03-04,OK,,Gen X
107,1,Larry Bucshon,M,Republican,rep,1962-05-31,IN,8.0,Boomers
99,1,Jack Bergman,M,Republican,rep,1947-02-02,MI,1.0,Boomers
108,1,James E. Risch,M,Republican,sen,1943-05-03,ID,,Silent
122,1,Jack Reed,M,Democrat,sen,1949-11-12,RI,,Boomers
93,1,Kevin Hern,M,Republican,rep,1961-12-04,OK,1.0,Boomers
132,1,Ro Khanna,M,Democrat,rep,1976-09-13,CA,17.0,Gen X
123,1,Richard J. Durbin,M,Democrat,sen,1944-11-21,IL,,Boomers
152,1,Jaime Herrera Beutler,F,Republican,rep,1978-11-03,WA,3.0,Gen X
111,1,Kevin Brady,M,Republican,rep,1955-04-11,TX,8.0,Boomers
110,1,Richard Hudson,M,Republican,rep,1971-11-04,NC,8.0,Gen X
116,1,Pete Olson,M,Republican,rep,1962-12-09,TX,22.0,Boomers
183,1,James R. Langevin,M,Democrat,rep,1964-04-22,RI,2.0,Boomers
126,1,Louie Gohmert,M,Republican,rep,1953-08-18,TX,1.0,Boomers
115,1,Peter A. DeFazio,M,Democrat,rep,1947-05-27,OR,4.0,Boomers
132,1,Maxine Waters,F,Democrat,rep,1938-08-15,CA,43.0,Silent
179,1,Marcia L. Fudge,F,Democrat,rep,1952-10-29,OH,11.0,Boomers
129,1,John H. Rutherford,M,Republican,rep,1952-09-02,FL,4.0,Boomers
132,1,Jim Hagedorn,M,Republican,rep,1962-08-04,MN,1.0,Boomers
115,1,John P. Sarbanes,M,Democrat,rep,1962-05-22,MD,3.0,Boomers
118,1,Marcy Kaptur,F,Democrat,rep,1946-06-17,OH,9.0,Boomers
128,1,Mark Pocan,M,Democrat,rep,1964-08-14,WI,2.0,Boomers
115,1,Neal P. Dunn,M,Republican,rep,1953-02-16,FL,2.0,Boomers
151,1,Jerry McNerney,M,Democrat,rep,1951-06-18,CA,9.0,Boomers
124,1,Ken Calvert,M,Republican,rep,1953-06-08,CA,42.0,Boomers
115,1,Mitch McConnell,M,Republican,sen,1942-02-20,KY,,Silent
159,1,Jefferson Van Drew,M,Republican,rep,1953-02-23,NJ,2.0,Boomers
128,1,Lloyd Doggett,M,Democrat,rep,1946-10-06,TX,35.0,Boomers
109,1,Mark R. Warner,M,Democrat,sen,1954-12-15,VA,,Boomers
159,1,Mike Quigley,M,Democrat,rep,1958-10-17,IL,5.0,Boomers
35,1,Kelly Armstrong,M,Republican,rep,1976-10-08,ND,0.0,Gen X
121,1,Mark Takano,M,Democrat,rep,1960-12-10,CA,41.0,Boomers
99,1,Michael R. Turner,M,Republican,rep,1960-01-11,OH,10.0,Boomers
139,1,Richard C. Shelby,M,Republican,sen,1934-05-06,AL,,Silent
166,1,Ilhan Omar,F,Democrat,rep,1981-10-04,MN,5.0,Millennial
182,1,"Frank Pallone, Jr.",M,Democrat,rep,1951-10-30,NJ,6.0,Boomers
73,1,Elise M. Stefanik,F,Republican,rep,1984-07-02,NY,21.0,Millennial
167,1,Ben Cline,M,Republican,rep,1972-02-29,VA,6.0,Gen X
112,1,Eric Swalwell,M,Democrat,rep,1980-11-16,CA,15.0,Millennial
166,1,C. A. Dutch Ruppersberger,M,Democrat,rep,1946-01-31,MD,2.0,Boomers
124,1,Elizabeth Warren,F,Democrat,sen,1949-06-22,MA,,Boomers
134,1,Debbie Lesko,F,Republican,rep,1958-11-14,AZ,8.0,Boomers
135,1,Roy Blunt,M,Republican,sen,1950-01-10,MO,,Boomers
133,1,Daniel Webster,M,Republican,rep,1949-04-27,FL,11.0,Boomers
69,1,Trent Kelly,M,Republican,rep,1966-03-01,MS,1.0,Gen X
138,1,Bryan Steil,M,Republican,rep,1981-03-30,WI,1.0,Millennial
100,1,David P. Roe,M,Republican,rep,1945-07-21,TN,1.0,Boomers
139,1,Ed Case,M,Democrat,rep,1952-09-27,HI,1.0,Boomers
120,1,Anna G. Eshoo,F,Democrat,rep,1942-12-13,CA,18.0,Silent
89,1,Danny K. Davis,M,Democrat,rep,1941-09-06,IL,7.0,Silent
135,1,Darren Soto,M,Democrat,rep,1978-02-25,FL,9.0,Gen X
111,1,David P. Joyce,M,Republican,rep,1957-03-17,OH,14.0,Boomers
112,1,Thomas R. Carper,M,Democrat,sen,1947-01-23,DE,,Boomers
116,1,Tom Reed,M,Republican,rep,1971-11-18,NY,23.0,Gen X
179,1,Steve Watkins,M,Republican,rep,1976-09-18,KS,2.0,Gen X
175,1,Ben McAdams,M,Democrat,rep,1974-12-05,UT,4.0,Gen X
156,1,Barry Loudermilk,M,Republican,rep,1963-12-22,GA,11.0,Boomers
136,1,Carol D. Miller,F,Republican,rep,1950-11-04,WV,3.0,Boomers
170,1,Daniel Lipinski,M,Democrat,rep,1966-07-15,IL,3.0,Gen X
180,1,Bernard Sanders,M,Independent,sen,1941-09-08,VT,,Silent
124,1,Greg Stanton,M,Democrat,rep,1970-03-08,AZ,9.0,Gen X
83,1,Suzanne Bonamici,F,Democrat,rep,1954-10-14,OR,1.0,Boomers
176,1,Hakeem S. Jeffries,M,Democrat,rep,1970-08-04,NY,8.0,Gen X
79,1,Robert E. Latta,M,Republican,rep,1956-04-18,OH,5.0,Boomers
34,1,Billy Long,M,Republican,rep,1955-08-11,MO,7.0,Boomers
144,1,Gus M. Bilirakis,M,Republican,rep,1963-02-08,FL,12.0,Boomers
100,1,Robert Menendez,M,Democrat,sen,1954-01-01,NJ,,Boomers
160,1,David Scott,M,Democrat,rep,1945-06-27,GA,13.0,Boomers
93,1,William R. Keating,M,Democrat,rep,1952-09-06,MA,9.0,Boomers
92,1,Alexander X. Mooney,M,Republican,rep,1971-06-05,WV,2.0,Gen X
190,1,Charles E. Schumer,M,Democrat,sen,1950-11-23,NY,,Boomers
157,1,Glenn Thompson,M,Republican,rep,1959-07-27,PA,15.0,Boomers
57,1,Tim Scott,M,Republican,sen,1965-09-19,SC,,Gen X
135,1,George Holding,M,Republican,rep,1968-04-17,NC,2.0,Gen X
176,1,Cynthia Axne,F,Democrat,rep,1965-04-20,IA,3.0,Gen X
138,1,Ron Estes,M,Republican,rep,1956-07-19,KS,4.0,Boomers
140,1,Betty McCollum,F,Democrat,rep,1954-07-12,MN,4.0,Boomers
133,1,Tammy Duckworth,F,Democrat,sen,1968-03-12,IL,,Gen X
151,1,André Carson,M,Democrat,rep,1974-10-16,IN,7.0,Gen X
99,1,Sheila Jackson Lee,F,Democrat,rep,1950-01-12,TX,18.0,Boomers
160,0,Rob Woodall,M,Republican,rep,1970-02-11,GA,7.0,Gen X
159,0,Tim Ryan,M,Democrat,rep,1973-07-16,OH,13.0,Gen X
155,0,Theodore E. Deutch,M,Democrat,rep,1966-05-07,FL,22.0,Gen X
169,0,Terri A. Sewell,F,Democrat,rep,1965-01-01,AL,7.0,Gen X
89,0,Ted Lieu,M,Democrat,rep,1969-03-29,CA,33.0,Gen X
142,0,Mike Lee,M,Republican,sen,1971-06-04,UT,,Gen X
135,0,Mike Levin,M,Democrat,rep,1978-10-28,CA,49.0,Gen X
145,0,Tammy Baldwin,F,Democrat,sen,1962-02-11,WI,,Boomers
113,0,Mike Rogers,M,Republican,rep,1958-07-16,AL,3.0,Boomers
91,0,Tim Walberg,M,Republican,rep,1951-04-12,MI,7.0,Boomers
181,0,Tom McClintock,M,Republican,rep,1956-07-10,CA,4.0,Boomers
137,0,Tina Smith,F,Democrat,sen,1958-03-04,MN,,Boomers
92,0,Troy Balderson,M,Republican,rep,1962-01-16,OH,12.0,Boomers
132,0,Yvette D. Clarke,F,Democrat,rep,1964-11-21,NY,9.0,Boomers
133,0,Martin Heinrich,M,Democrat,sen,1971-10-17,NM,,Gen X
170,0,Xochitl Torres Small,F,Democrat,rep,1984-11-15,NM,2.0,Millennial
134,0,Vicente Gonzalez,M,Democrat,rep,1967-09-04,TX,15.0,Gen X
104,0,Veronica Escobar,F,Democrat,rep,1969-09-15,TX,16.0,Gen X
79,0,Mary Gay Scanlon,F,Democrat,rep,1959-08-30,PA,5.0,Boomers
144,0,Matt Cartwright,M,Democrat,rep,1961-05-01,PA,8.0,Boomers
167,0,Van Taylor,M,Republican,rep,1972-08-01,TX,3.0,Gen X
117,0,Max Rose,M,Democrat,rep,1986-11-28,NY,11.0,Millennial
155,0,Val Butler Demings,F,Democrat,rep,1957-03-12,FL,10.0,Boomers
95,0,Tulsi Gabbard,F,Democrat,rep,1981-04-12,HI,2.0,Millennial
115,0,Trey Hollingsworth,M,Republican,rep,1983-09-12,IN,9.0,Millennial
74,0,Mike Crapo,M,Republican,sen,1951-05-20,ID,,Boomers
122,0,Michael B. Enzi,M,Republican,sen,1944-02-01,WY,,Boomers
167,0,Tony Cárdenas,M,Democrat,rep,1963-03-31,CA,29.0,Boomers
128,0,Tom Udall,M,Democrat,sen,1948-05-18,NM,,Boomers
128,0,Michael F. Bennet,M,Democrat,sen,1964-11-28,CO,,Boomers
143,0,Michael F. Doyle,M,Democrat,rep,1953-08-05,PA,18.0,Boomers
45,0,Michael F. Q. San Nicolas,M,Democrat,rep,1981-01-30,GU,0.0,Millennial
171,0,Tom O’Halleran,M,Democrat,rep,1946-01-24,AZ,1.0,Boomers
166,0,Mike Thompson,M,Democrat,rep,1951-01-24,CA,5.0,Boomers
134,0,Tom Malinowski,M,Democrat,rep,1965-09-23,NJ,7.0,Gen X
138,0,Tom Emmer,M,Republican,rep,1961-03-03,MN,6.0,Boomers
82,0,Tom Cole,M,Republican,rep,1949-04-28,OK,4.0,Boomers
174,0,TJ Cox,M,Democrat,rep,1963-07-18,CA,21.0,Boomers
150,0,Norma J. Torres,F,Democrat,rep,1965-04-04,CA,35.0,Gen X
115,0,Sylvia R. Garcia,F,Democrat,rep,1950-09-06,TX,29.0,Boomers
155,0,Seth Moulton,M,Democrat,rep,1978-10-24,MA,6.0,Gen X
157,0,Sean Patrick Maloney,M,Democrat,rep,1966-07-30,NY,18.0,Gen X
100,0,Sean Casten,M,Democrat,rep,1971-11-23,IL,6.0,Gen X
144,0,Pramila Jayapal,F,Democrat,rep,1965-09-21,WA,7.0,Gen X
144,0,Scott H. Peters,M,Democrat,rep,1958-06-17,CA,52.0,Boomers
183,0,"Sanford D. Bishop, Jr.",M,Democrat,rep,1947-02-04,GA,2.0,Boomers
176,0,Sam Graves,M,Republican,rep,1963-11-07,MO,6.0,Boomers
104,0,Salud O. Carbajal,M,Democrat,rep,1964-11-18,CA,24.0,Boomers
123,0,Rand Paul,M,Republican,sen,1963-01-07,KY,,Boomers
116,0,Ruben Gallego,M,Democrat,rep,1979-11-20,AZ,7.0,Gen X
133,0,Rashida Tlaib,F,Democrat,rep,1976-07-24,MI,13.0,Gen X
109,0,Rosa L. DeLauro,F,Democrat,rep,1943-03-02,CT,3.0,Silent
131,0,Ron Wyden,M,Democrat,sen,1949-05-03,OR,,Boomers
175,0,Raul Ruiz,M,Democrat,rep,1972-08-25,CA,36.0,Gen X
148,0,Raúl M. Grijalva,M,Democrat,rep,1948-02-19,AZ,3.0,Boomers
134,0,Richard Blumenthal,M,Democrat,sen,1946-02-13,CT,,Boomers
120,0,Richard Burr,M,Republican,sen,1955-11-30,NC,,Boomers
116,0,Martha Roby,F,Republican,rep,1976-07-27,AL,2.0,Gen X
124,0,Ron Kind,M,Democrat,rep,1963-03-16,WI,3.0,Boomers
109,0,Roger Williams,M,Republican,rep,1949-09-13,TX,25.0,Boomers
0,0,Roger W. Marshall,M,Republican,rep,1960-08-09,KS,1.0,Boomers
120,0,Rodney Davis,M,Republican,rep,1970-01-05,IL,13.0,Gen X
173,0,Robin L. Kelly,F,Democrat,rep,1956-04-30,IL,2.0,Boomers
98,0,"Robert P. Casey, Jr.",M,Democrat,sen,1960-04-13,PA,,Boomers
103,0,Robert J. Wittman,M,Republican,rep,1959-02-03,VA,1.0,Boomers
0,0,Rob Bishop,M,Republican,rep,1951-07-13,UT,1.0,Boomers
151,0,Peter Welch,M,Democrat,rep,1947-05-02,VT,0.0,Boomers
132,0,Sharice Davids,F,Democrat,rep,1980-05-22,KS,3.0,Millennial
130,0,Mikie Sherrill,F,Democrat,rep,1972-01-19,NJ,11.0,Gen X
139,0,Sheldon Whitehouse,M,Democrat,sen,1955-10-20,RI,,Boomers
159,0,Susie Lee,F,Democrat,rep,1966-11-07,NV,3.0,Gen X
127,0,Susan Wild,F,Democrat,rep,1957-06-07,PA,7.0,Boomers
123,0,Susan W. Brooks,F,Republican,rep,1960-08-25,IN,5.0,Boomers
160,0,Nancy Pelosi,F,Democrat,rep,1940-03-26,CA,12.0,Silent
119,0,Nanette Diaz Barragán,F,Democrat,rep,1976-09-15,CA,44.0,Gen X
153,0,Susan M. Collins,F,Republican,sen,1952-12-07,ME,,Boomers
96,0,Nita M. Lowey,F,Democrat,rep,1937-07-05,NY,17.0,Silent
106,0,"Robert C. ""Bobby"" Scott",M,Democrat,rep,1947-04-30,VA,3.0,Boomers
181,0,Susan A. Davis,F,Democrat,rep,1944-04-13,CA,53.0,Boomers
125,0,Nydia M. Velázquez,F,Democrat,rep,1953-03-28,NY,7.0,Boomers
120,0,Pat Roberts,M,Republican,sen,1936-04-20,KS,,Silent
128,0,Steven Horsford,M,Democrat,rep,1973-04-29,NV,4.0,Gen X
105,0,Steve Womack,M,Republican,rep,1957-02-18,AR,3.0,Boomers
161,0,Steve Stivers,M,Republican,rep,1965-03-24,OH,15.0,Gen X
172,0,Patty Murray,F,Democrat,sen,1950-10-11,WA,,Boomers
129,0,Steve Cohen,M,Democrat,rep,1949-05-24,TN,9.0,Boomers
101,0,Stephen F. Lynch,M,Democrat,rep,1955-03-31,MA,8.0,Boomers
61,0,Stephanie N. Murphy,F,Democrat,rep,1978-09-16,FL,7.0,Gen X
134,0,Paul Mitchell,M,Republican,rep,1961-05-08,MI,10.0,Boomers
136,0,Paul Tonko,M,Democrat,rep,1949-06-18,NY,20.0,Boomers
148,0,Steny H. Hoyer,M,Democrat,rep,1939-06-14,MD,5.0,Silent
171,0,Pete Aguilar,M,Democrat,rep,1979-06-19,CA,31.0,Gen X
111,0,Stacey E. Plaskett,F,Democrat,rep,1966-05-13,VI,0.0,Gen X
122,0,Sherrod Brown,M,Democrat,sen,1952-11-09,OH,,Boomers
124,0,Shelley Moore Capito,F,Republican,sen,1953-11-26,WV,,Boomers
118,0,A. Donald McEachin,M,Democrat,rep,1961-10-10,VA,4.0,Boomers
77,0,John R. Carter,M,Republican,rep,1941-11-06,TX,31.0,Silent
