full_name,pct_true,count_all,gender,party,type,birthday,state,district,generation
John Barrasso,0.16,104,M,Republican,sen,1952-07-21,WY,,Boomers
John Kennedy,0.16,191,M,Republican,sen,1951-11-21,LA,,Boomers
Steve Cohen,0.16,129,M,Democrat,rep,1949-05-24,TN,9,Boomers
Ron Wyden,0.16,131,M,Democrat,sen,1949-05-03,OR,,Boomers
"F. James Sensenbrenner, Jr.",0.16,50,M,Republican,rep,1943-06-14,WI,5,Silent
Michael Cloud,0.15,100,M,Republican,rep,1975-05-13,TX,27,Gen X
Rand Paul,0.15,123,M,Republican,sen,1963-01-07,KY,,Boomers
Ted S. Yoho,0.15,94,M,Republican,rep,1955-04-13,FL,3,Boomers
Steve King,0.15,169,M,Republican,rep,1949-05-28,IA,4,Boomers
Edward J. Markey,0.15,144,M,Democrat,sen,1946-07-11,MA,,Boomers
Bernard Sanders,0.15,182,M,Independent,sen,1941-09-08,VT,,Silent
Adam Kinzinger,0.14,115,M,Republican,rep,1978-02-27,IL,16,Gen X
Kelly Armstrong,0.14,35,M,Republican,rep,1976-10-08,ND,0,Gen X
Mark Walker,0.14,125,M,Republican,rep,1969-05-20,NC,6,Gen X
Debbie Wasserman Schultz,0.14,150,F,Democrat,rep,1966-09-27,FL,23,Gen X
Doug Collins,0.14,161,M,Republican,rep,1966-08-16,GA,9,Gen X
John Thune,0.14,147,M,Republican,sen,1961-01-07,SD,,Boomers
Ken Buck,0.14,119,M,Republican,rep,1959-02-16,CO,4,Boomers
Paul A. Gosar,0.14,95,M,Republican,rep,1958-11-22,AZ,4,Boomers
Mo Brooks,0.14,109,M,Republican,rep,1954-04-29,AL,5,Boomers
John H. Rutherford,0.14,129,M,Republican,rep,1952-09-02,FL,4,Boomers
Patty Murray,0.14,172,F,Democrat,sen,1950-10-11,WA,,Boomers
Jackie Speier,0.14,176,F,Democrat,rep,1950-05-14,CA,14,Boomers
Chuck Grassley,0.14,196,M,Republican,sen,1933-09-17,IA,,Silent
Lee M. Zeldin,0.13,101,M,Republican,rep,1980-01-30,NY,1,Millennial
Mike Johnson,0.13,119,M,Republican,rep,1972-01-30,LA,4,Gen X
Tom Reed,0.13,116,M,Republican,rep,1971-11-18,NY,23,Gen X
Val Butler Demings,0.13,155,F,Democrat,rep,1957-03-12,FL,10,Boomers
Sheldon Whitehouse,0.13,133,M,Democrat,sen,1955-10-20,RI,,Boomers
K. Michael Conaway,0.13,123,M,Republican,rep,1948-06-11,TX,11,Boomers
W. Gregory Steube,0.12,155,M,Republican,rep,1978-05-19,FL,17,Gen X
George Holding,0.12,135,M,Republican,rep,1968-04-17,NC,2,Gen X
Fred Keller,0.12,146,M,Republican,rep,1965-10-23,PA,12,Gen X
Tim Burchett,0.12,165,M,Republican,rep,1964-08-25,TN,2,Boomers
Barry Loudermilk,0.12,156,M,Republican,rep,1963-12-22,GA,11,Boomers
David N. Cicilline,0.12,25,M,Democrat,rep,1961-07-15,RI,1,Boomers
Ron Wright,0.12,159,M,Republican,rep,1953-04-08,TX,6,Boomers
Tom Udall,0.12,125,M,Democrat,sen,1948-05-18,NM,,Boomers
Al Green,0.12,146,M,Democrat,rep,1947-09-01,TX,9,Boomers
Jerrold Nadler,0.12,113,M,Democrat,rep,1947-06-13,NY,10,Boomers
Peter Welch,0.12,151,M,Democrat,rep,1947-05-02,VT,0,Boomers
Mitt Romney,0.12,132,M,Republican,sen,1947-03-12,UT,,Boomers
Barbara Lee,0.12,194,F,Democrat,rep,1946-07-16,CA,13,Boomers
Susan A. Davis,0.12,181,F,Democrat,rep,1944-04-13,CA,53,Boomers
Brian J. Mast,0.11,90,M,Republican,rep,1980-07-10,FL,18,Millennial
Joaquin Castro,0.11,28,M,Democrat,rep,1974-09-16,TX,20,Gen X
Katie Porter,0.11,114,F,Democrat,rep,1974-01-03,CA,45,Gen X
Mike Lee,0.11,142,M,Republican,sen,1971-06-04,UT,,Gen X
Michael Guest,0.11,116,M,Republican,rep,1970-02-04,MS,3,Gen X
Linda T. Sánchez,0.11,80,F,Democrat,rep,1969-01-28,CA,38,Gen X
Tom Rice,0.11,154,M,Republican,rep,1957-08-04,SC,7,Boomers
Gregory W. Meeks,0.11,73,M,Democrat,rep,1953-09-25,NY,5,Boomers
"Frank Pallone, Jr.",0.11,182,M,Democrat,rep,1951-10-30,NJ,6,Boomers
Raúl M. Grijalva,0.11,148,M,Democrat,rep,1948-02-19,AZ,3,Boomers
Thomas R. Carper,0.11,113,M,Democrat,sen,1947-01-23,DE,,Boomers
David P. Roe,0.11,100,M,Republican,rep,1945-07-21,TN,1,Boomers
Bonnie Watson Coleman,0.11,76,F,Democrat,rep,1945-02-06,NJ,12,Boomers
Richard J. Durbin,0.11,125,M,Democrat,sen,1944-11-21,IL,,Boomers
Jared F. Golden,0.1,94,M,Democrat,rep,1982-07-25,ME,2,Millennial
Ruben Gallego,0.1,116,M,Democrat,rep,1979-11-20,AZ,7,Gen X
Patrick T. McHenry,0.1,162,M,Republican,rep,1975-10-22,NC,10,Gen X
Jodey C. Arrington,0.1,101,M,Republican,rep,1972-03-09,TX,19,Gen X
Sean Patrick Maloney,0.1,157,M,Democrat,rep,1966-07-30,NY,18,Gen X
Mark Pocan,0.1,128,M,Democrat,rep,1964-08-14,WI,2,Boomers
Daniel Meuser,0.1,171,M,Republican,rep,1964-02-10,PA,9,Boomers
Christopher A. Coons,0.1,102,M,Democrat,sen,1963-09-09,DE,,Boomers
Steve Daines,0.1,168,M,Republican,sen,1962-08-20,MT,,Boomers
"Earl L. ""Buddy"" Carter",0.1,146,M,Republican,rep,1957-09-06,GA,1,Boomers
Greg Pence,0.1,140,M,Republican,rep,1956-11-14,IN,6,Boomers
Lindsey Graham,0.1,170,M,Republican,sen,1955-07-09,SC,,Boomers
Ralph Lee Abraham,0.1,113,M,Republican,rep,1954-09-16,LA,5,Boomers
Sherrod Brown,0.1,116,M,Democrat,sen,1952-11-09,OH,,Boomers
Vern Buchanan,0.1,165,M,Republican,rep,1951-05-08,FL,16,Boomers
Daniel Webster,0.1,133,M,Republican,rep,1949-04-27,FL,11,Boomers
Benjamin L. Cardin,0.1,117,M,Democrat,sen,1943-10-05,MD,,Silent
William R. Timmons IV,0.09,127,M,Republican,rep,1984-04-30,SC,4,Millennial
Ilhan Omar,0.09,166,F,Democrat,rep,1981-10-04,MN,5,Millennial
Cathy McMorris Rodgers,0.09,93,F,Republican,rep,1969-05-22,WA,5,Gen X
Bill Huizenga,0.09,74,M,Republican,rep,1969-01-31,MI,2,Gen X
A. Drew Ferguson IV,0.09,133,M,Republican,rep,1966-11-15,GA,3,Gen X
Jeff Duncan,0.09,99,M,Republican,rep,1966-01-07,SC,3,Gen X
Ann Wagner,0.09,105,F,Republican,rep,1962-09-13,MO,2,Boomers
Patrick J. Toomey,0.09,131,M,Republican,sen,1961-11-17,PA,,Boomers
Kevin Cramer,0.09,108,M,Republican,sen,1961-01-21,ND,,Boomers
James P. McGovern,0.09,132,M,Democrat,rep,1959-11-20,MA,2,Boomers
J. Luis Correa,0.09,149,M,Democrat,rep,1958-01-24,CA,46,Boomers
Bill Johnson,0.09,112,M,Republican,rep,1954-11-10,OH,6,Boomers
Gary J. Palmer,0.09,146,M,Republican,rep,1954-05-14,AL,6,Boomers
Nydia M. Velázquez,0.09,125,F,Democrat,rep,1953-03-28,NY,7,Boomers
Rick W. Allen,0.09,140,M,Republican,rep,1951-11-07,GA,12,Boomers
Gerald E. Connolly,0.09,122,M,Democrat,rep,1950-03-30,VA,11,Boomers
John A. Yarmuth,0.09,57,M,Democrat,rep,1947-11-04,KY,3,Boomers
Doris O. Matsui,0.09,149,F,Democrat,rep,1944-09-25,CA,6,Boomers
Donna E. Shalala,0.09,111,F,Democrat,rep,1941-02-14,FL,27,Silent
Nancy Pelosi,0.09,160,F,Democrat,rep,1940-03-26,CA,12,Silent
Pete Aguilar,0.08,171,M,Democrat,rep,1979-06-19,CA,31,Gen X
André Carson,0.08,151,M,Democrat,rep,1974-10-16,IN,7,Gen X
Chip Roy,0.08,115,M,Republican,rep,1972-08-07,TX,21,Gen X
Ted Budd,0.08,150,M,Republican,rep,1971-10-21,NC,13,Gen X
Alexander X. Mooney,0.08,92,M,Republican,rep,1971-06-05,WV,2,Gen X
Kelly Loeffler,0.08,149,F,Republican,sen,1970-11-27,GA,,Gen X
Cory A. Booker,0.08,159,M,Democrat,sen,1969-04-27,NJ,,Gen X
Ted Lieu,0.08,89,M,Democrat,rep,1969-03-29,CA,33,Gen X
Ross Spano,0.08,76,M,Republican,rep,1966-07-16,FL,15,Gen X
Michael F. Bennet,0.08,128,M,Democrat,sen,1964-11-28,CO,,Boomers
Jared Huffman,0.08,179,M,Democrat,rep,1964-02-18,CA,2,Boomers
Troy Balderson,0.08,92,M,Republican,rep,1962-01-16,OH,12,Boomers
Juan Vargas,0.08,142,M,Democrat,rep,1961-03-07,CA,51,Boomers
Amy Klobuchar,0.08,173,F,Democrat,sen,1960-05-25,MN,,Boomers
Scott R. Tipton,0.08,78,M,Republican,rep,1956-11-09,CO,3,Boomers
Robin L. Kelly,0.08,173,F,Democrat,rep,1956-04-30,IL,2,Boomers
Mark R. Warner,0.08,109,M,Democrat,sen,1954-12-15,VA,,Boomers
Brad Sherman,0.08,159,M,Democrat,rep,1954-10-24,CA,30,Boomers
Blaine Luetkemeyer,0.08,176,M,Republican,rep,1952-05-07,MO,3,Boomers
Emanuel Cleaver,0.08,120,M,Democrat,rep,1944-10-26,MO,5,Boomers
Rosa L. DeLauro,0.08,109,F,Democrat,rep,1943-03-02,CT,3,Silent
Nita M. Lowey,0.08,96,F,Democrat,rep,1937-07-05,NY,17,Silent
Markwayne Mullin,0.07,123,M,Republican,rep,1977-07-26,OK,2,Gen X
Ayanna Pressley,0.07,107,F,Democrat,rep,1974-02-03,MA,7,Gen X
Ben Sasse,0.07,189,M,Republican,sen,1972-02-22,NE,,Gen X
Martin Heinrich,0.07,133,M,Democrat,sen,1971-10-17,NM,,Gen X
Debbie Mucarsel-Powell,0.07,144,F,Democrat,rep,1971-01-18,FL,26,Gen X
Denver Riggleman,0.07,198,M,Republican,rep,1970-03-01,VA,5,Gen X
Austin Scott,0.07,132,M,Republican,rep,1969-12-10,GA,8,Gen X
Tammy Duckworth,0.07,133,F,Democrat,sen,1968-03-12,IL,,Gen X
Kirsten E. Gillibrand,0.07,165,F,Democrat,sen,1966-12-09,NY,,Gen X
Stacey E. Plaskett,0.07,111,F,Democrat,rep,1966-05-13,VI,0,Gen X
Theodore E. Deutch,0.07,155,M,Democrat,rep,1966-05-07,FL,22,Gen X
Tony Cárdenas,0.07,167,M,Democrat,rep,1963-03-31,CA,29,Boomers
Ron Kind,0.07,124,M,Democrat,rep,1963-03-16,WI,3,Boomers
Harley Rouda,0.07,138,M,Democrat,rep,1961-12-10,CA,48,Boomers
Mario Diaz-Balart,0.07,84,M,Republican,rep,1961-09-25,FL,25,Boomers
Bradley Scott Schneider,0.07,136,M,Democrat,rep,1961-08-20,IL,10,Boomers
Mike Bost,0.07,184,M,Republican,rep,1960-12-30,IL,12,Boomers
Debra A. Haaland,0.07,87,F,Democrat,rep,1960-12-02,NM,1,Boomers
Andy Levin,0.07,135,M,Democrat,rep,1960-08-01,MI,9,Boomers
Bill Cassidy,0.07,152,M,Republican,sen,1957-09-28,LA,,Boomers
Diana DeGette,0.07,172,F,Democrat,rep,1957-07-29,CO,1,Boomers
Andy Harris,0.07,153,M,Republican,rep,1957-01-25,MD,1,Boomers
Kevin Brady,0.07,111,M,Republican,rep,1955-04-11,TX,8,Boomers
Jim Cooper,0.07,101,M,Democrat,rep,1954-06-19,TN,5,Boomers
Robert Menendez,0.07,98,M,Democrat,sen,1954-01-01,NJ,,Boomers
Ralph Norman,0.07,157,M,Republican,rep,1953-06-20,SC,5,Boomers
Ann Kirkpatrick,0.07,176,F,Democrat,rep,1950-03-24,AZ,2,Boomers
Sheila Jackson Lee,0.07,99,F,Democrat,rep,1950-01-12,TX,18,Boomers
Jack Bergman,0.07,99,M,Republican,rep,1947-02-02,MI,1,Boomers
Jeanne Shaheen,0.07,166,F,Democrat,sen,1947-01-28,NH,,Boomers
Carolyn B. Maloney,0.07,111,F,Democrat,rep,1946-02-19,NY,12,Boomers
Michael B. Enzi,0.07,122,M,Republican,sen,1944-02-01,WY,,Boomers
Alan S. Lowenthal,0.07,165,M,Democrat,rep,1941-03-08,CA,47,Silent
Ro Khanna,0.06,132,M,Democrat,rep,1976-09-13,CA,17,Gen X
Pramila Jayapal,0.06,144,F,Democrat,rep,1965-09-21,WA,7,Gen X
Robert B. Aderholt,0.06,107,M,Republican,rep,1965-07-22,AL,4,Gen X
Jamie Raskin,0.06,53,M,Democrat,rep,1962-12-13,MD,8,Boomers
Tammy Baldwin,0.06,145,F,Democrat,sen,1962-02-11,WI,,Boomers
Chris Stewart,0.06,119,M,Republican,rep,1960-07-15,UT,2,Boomers
Madeleine Dean,0.06,106,F,Democrat,rep,1959-06-06,PA,4,Boomers
Brad R. Wenstrup,0.06,101,M,Republican,rep,1958-06-17,OH,2,Boomers
H. Morgan Griffith,0.06,151,M,Republican,rep,1958-03-15,VA,9,Boomers
Rob Portman,0.06,191,M,Republican,sen,1955-12-19,OH,,Boomers
Ron Johnson,0.06,137,M,Republican,sen,1955-04-08,WI,,Boomers
Mike Braun,0.06,104,M,Republican,sen,1954-03-24,IN,,Boomers
Karen Bass,0.06,125,F,Democrat,rep,1953-10-03,CA,37,Boomers
Neal P. Dunn,0.06,115,M,Republican,rep,1953-02-16,FL,2,Boomers
Michael C. Burgess,0.06,181,M,Republican,rep,1950-12-23,TX,26,Boomers
Carol D. Miller,0.06,136,F,Republican,rep,1950-11-04,WV,3,Boomers
Lois Frankel,0.06,141,F,Democrat,rep,1948-05-16,FL,21,Boomers
Eliot L. Engel,0.06,96,M,Democrat,rep,1947-02-18,NY,16,Boomers
Anna G. Eshoo,0.06,120,F,Democrat,rep,1942-12-13,CA,18,Silent
Mike Gallagher,0.05,144,M,Republican,rep,1984-03-03,WI,8,Millennial
Eric Swalwell,0.05,112,M,Democrat,rep,1980-11-16,CA,15,Millennial
Abigail Davis Spanberger,0.05,153,F,Democrat,rep,1979-08-07,VA,7,Gen X
Kendra S. Horn,0.05,118,F,Democrat,rep,1976-06-09,OK,5,Gen X
Jimmy Gomez,0.05,148,M,Democrat,rep,1974-11-25,CA,34,Gen X
Cory Gardner,0.05,148,M,Republican,sen,1974-08-22,CO,,Gen X
Lori Trahan,0.05,130,F,Democrat,rep,1973-10-27,MA,3,Gen X
Raja Krishnamoorthi,0.05,154,M,Democrat,rep,1973-07-19,IL,8,Gen X
Tim Ryan,0.05,159,M,Democrat,rep,1973-07-16,OH,13,Gen X
Brian Schatz,0.05,151,M,Democrat,sen,1972-10-20,HI,,Gen X
Ben Ray Luján,0.05,131,M,Democrat,rep,1972-06-07,NM,3,Gen X
Marco Rubio,0.05,145,M,Republican,sen,1971-05-28,FL,,Gen X
Marc A. Veasey,0.05,176,M,Democrat,rep,1971-01-03,TX,33,Gen X
Warren Davidson,0.05,113,M,Republican,rep,1970-03-01,OH,8,Gen X
Tom Graves,0.05,125,M,Republican,rep,1970-02-03,GA,14,Gen X
Adam Smith,0.05,131,M,Democrat,rep,1965-06-15,WA,9,Gen X
John W. Rose,0.05,167,M,Republican,rep,1965-02-23,TN,6,Gen X
Brett Guthrie,0.05,130,M,Republican,rep,1964-02-18,KY,2,Boomers
Sam Graves,0.05,176,M,Republican,rep,1963-11-07,MO,6,Boomers
Katherine M. Clark,0.05,103,F,Democrat,rep,1963-07-17,MA,5,Boomers
Michael T. McCaul,0.05,123,M,Republican,rep,1962-01-14,TX,10,Boomers
Anthony G. Brown,0.05,140,M,Democrat,rep,1961-11-21,MD,4,Boomers
A. Donald McEachin,0.05,118,M,Democrat,rep,1961-10-10,VA,4,Boomers
Paul Mitchell,0.05,134,M,Republican,rep,1961-05-08,MI,10,Boomers
Andy Biggs,0.05,57,M,Republican,rep,1958-11-07,AZ,5,Boomers
Mike Quigley,0.05,159,M,Democrat,rep,1958-10-17,IL,5,Boomers
Maria Cantwell,0.05,107,F,Democrat,sen,1958-10-13,WA,,Boomers
Daniel T. Kildee,0.05,132,M,Democrat,rep,1958-08-11,MI,5,Boomers
Mike Rogers,0.05,113,M,Republican,rep,1958-07-16,AL,3,Boomers
Mac Thornberry,0.05,55,M,Republican,rep,1958-07-15,TX,13,Boomers
Jacky Rosen,0.05,135,F,Democrat,sen,1957-08-02,NV,,Boomers
J. French Hill,0.05,169,M,Republican,rep,1956-12-05,AR,2,Boomers
Glenn Grothman,0.05,171,M,Republican,rep,1955-07-03,WI,6,Boomers
Bradley Byrne,0.05,97,M,Republican,rep,1955-02-16,AL,1,Boomers
Mike Rounds,0.05,115,M,Republican,sen,1954-10-24,SD,,Boomers
Debbie Dingell,0.05,150,F,Democrat,rep,1953-11-23,MI,12,Boomers
Fred Upton,0.05,132,M,Republican,rep,1953-04-23,MI,6,Boomers
Christopher H. Smith,0.05,171,M,Republican,rep,1953-03-04,NJ,4,Boomers
Susan M. Collins,0.05,151,F,Republican,sen,1952-12-07,ME,,Boomers
Debbie Stabenow,0.05,137,F,Democrat,sen,1950-04-29,MI,,Boomers
Roger Williams,0.05,109,M,Republican,rep,1949-09-13,TX,25,Boomers
Joe Wilson,0.05,111,M,Republican,rep,1947-07-31,SC,2,Boomers
Bobby L. Rush,0.05,92,M,Democrat,rep,1946-11-23,IL,1,Boomers
Lloyd Doggett,0.05,128,M,Democrat,rep,1946-10-06,TX,35,Boomers
C. A. Dutch Ruppersberger,0.05,166,M,Democrat,rep,1946-01-31,MD,2,Boomers
"Angus S. King, Jr.",0.05,140,M,Independent,sen,1944-03-31,ME,,Boomers
James E. Clyburn,0.05,111,M,Democrat,rep,1940-07-21,SC,6,Silent
John Lewis,0.05,152,M,Democrat,rep,1940-02-21,GA,5,Silent
Steny H. Hoyer,0.05,148,M,Democrat,rep,1939-06-14,MD,5,Silent
Eleanor Holmes Norton,0.05,143,F,Democrat,rep,1937-06-13,DC,0,Silent
Grace F. Napolitano,0.05,75,F,Democrat,rep,1936-12-04,CA,32,Silent
Alcee L. Hastings,0.05,103,M,Democrat,rep,1936-09-05,FL,20,Silent
Alexandria Ocasio-Cortez,0.04,136,F,Democrat,rep,1989-10-13,NY,14,Millennial
Andy Kim,0.04,140,M,Democrat,rep,1982-07-12,NJ,3,Millennial
Tulsi Gabbard,0.04,95,F,Democrat,rep,1981-04-12,HI,2,Millennial
Michael F. Q. San Nicolas,0.04,45,M,Democrat,rep,1981-01-30,GU,0,Millennial
Anthony Brindisi,0.04,184,M,Democrat,rep,1978-11-22,NY,22,Gen X
Darren Soto,0.04,135,M,Democrat,rep,1978-02-25,FL,9,Gen X
Brendan F. Boyle,0.04,130,M,Democrat,rep,1977-02-06,PA,2,Gen X
Nanette Diaz Barragán,0.04,119,F,Democrat,rep,1976-09-15,CA,44,Gen X
Elissa Slotkin,0.04,97,F,Democrat,rep,1976-07-10,MI,8,Gen X
Grace Meng,0.04,187,F,Democrat,rep,1975-10-01,NY,6,Gen X
Brian K. Fitzpatrick,0.04,159,M,Republican,rep,1973-12-17,PA,1,Gen X
Andy Barr,0.04,124,M,Republican,rep,1973-07-24,KY,6,Gen X
Todd Young,0.04,180,M,Republican,sen,1972-08-24,IN,,Gen X
David Rouzer,0.04,50,M,Republican,rep,1972-02-16,NC,7,Gen X
Sean Casten,0.04,100,M,Democrat,rep,1971-11-23,IL,6,Gen X
Adrian Smith,0.04,187,M,Republican,rep,1970-12-19,NE,3,Gen X
Joni Ernst,0.04,184,F,Republican,sen,1970-07-01,IA,,Gen X
Steven M. Palazzo,0.04,104,M,Republican,rep,1970-02-21,MS,4,Gen X
Veronica Escobar,0.04,104,F,Democrat,rep,1969-09-15,TX,16,Gen X
Darin LaHood,0.04,136,M,Republican,rep,1968-07-05,IL,18,Gen X
James Lankford,0.04,73,M,Republican,sen,1968-03-04,OK,,Gen X
Pete Stauber,0.04,151,M,Republican,rep,1966-05-10,MN,8,Gen X
Martha McSally,0.04,168,F,Republican,sen,1966-03-22,AZ,,Gen X
Norma J. Torres,0.04,150,F,Democrat,rep,1965-04-04,CA,35,Gen X
Catherine Cortez Masto,0.04,90,F,Democrat,sen,1964-03-29,NV,,Boomers
Pete Olson,0.04,116,M,Republican,rep,1962-12-09,TX,22,Boomers
"Charles J. ""Chuck"" Fleischmann",0.04,141,M,Republican,rep,1962-10-11,TN,3,Boomers
Lisa Blunt Rochester,0.04,97,F,Democrat,rep,1962-02-10,DE,0,Boomers
Jeff Fortenberry,0.04,199,M,Republican,rep,1960-12-27,NE,1,Boomers
Mark Takano,0.04,121,M,Democrat,rep,1960-12-10,CA,41,Boomers
Mary Gay Scanlon,0.04,79,F,Democrat,rep,1959-08-30,PA,5,Boomers
Tina Smith,0.04,137,F,Democrat,sen,1958-03-04,MN,,Boomers
Steve Womack,0.04,105,M,Republican,rep,1957-02-18,AR,3,Boomers
Greg Walden,0.04,114,M,Republican,rep,1957-01-10,OR,2,Boomers
Robert E. Latta,0.04,79,M,Republican,rep,1956-04-18,OH,5,Boomers
"Jesús G. ""Chuy"" García",0.04,50,M,Democrat,rep,1956-04-12,IL,4,Boomers
Bill Foster,0.04,100,M,Democrat,rep,1955-10-07,IL,11,Boomers
David Loebsack,0.04,179,M,Democrat,rep,1952-12-23,IA,2,Boomers
Marcia L. Fudge,0.04,179,F,Democrat,rep,1952-10-29,OH,11,Boomers
Mark DeSaulnier,0.04,145,M,Democrat,rep,1952-03-31,CA,11,Boomers
Roy Blunt,0.04,135,M,Republican,sen,1950-01-10,MO,,Boomers
David Perdue,0.04,142,M,Republican,sen,1949-12-10,GA,,Boomers
Paul Tonko,0.04,136,M,Democrat,rep,1949-06-18,NY,20,Boomers
Bennie G. Thompson,0.04,113,M,Democrat,rep,1948-01-28,MS,2,Boomers
"Robert C. ""Bobby"" Scott",0.04,106,M,Democrat,rep,1947-04-30,VA,3,Boomers
Paul Cook,0.04,153,M,Republican,rep,1943-03-03,CA,8,Silent
Frederica S. Wilson,0.04,182,F,Democrat,rep,1942-11-05,FL,24,Silent
Lamar Alexander,0.04,83,M,Republican,sen,1940-07-03,TN,,Silent
Harold Rogers,0.04,99,M,Republican,rep,1937-12-31,KY,5,Silent
Dianne Feinstein,0.04,157,F,Democrat,sen,1933-06-22,CA,,Silent
Abby Finkenauer,0.03,151,F,Democrat,rep,1988-12-27,IA,1,Millennial
Max Rose,0.03,117,M,Democrat,rep,1986-11-28,NY,11,Millennial
Josh Harder,0.03,146,M,Democrat,rep,1986-08-01,CA,10,Millennial
